workday_id,student_id,project_id,work_date,hours_worked,daily_salary
W000056,S00004,P001,2024-06-07,5,121.75
W000057,S00004,P001,2024-07-11,4,97.4
W000058,S00005,P001,2024-07-04,4,97.4
W000059,S00005,P001,2024-06-29,8,194.8
W000060,S00005,P001,2024-06-11,4,97.4
W000061,S00005,P001,2024-08-03,7,170.45
W000062,S00005,P001,2024-07-30,8,194.8
W000063,S00005,P001,2024-07-10,8,194.8
W000064,S00005,P001,2024-06-19,8,194.8
W000065,S00005,P001,2024-07-11,6,146.1
W000066,S00005,P001,2024-07-12,6,146.1
W000067,S00006,P001,2024-07-14,4,97.4
W000068,S00006,P001,2024-06-19,4,97.4
W000069,S00006,P001,2024-06-20,7,170.45
W000070,S00006,P001,2024-06-29,8,194.8
W000071,S00006,P001,2024-06-12,8,194.8
W000072,S00006,P001,2024-07-16,4,97.4
W000073,S00006,P001,2024-07-15,4,97.4
W000074,S00006,P001,2024-06-23,8,194.8
W000075,S00006,P001,2024-07-03,5,121.75
W000076,S00006,P001,2024-06-24,8,194.8
W000077,S00006,P001,2024-07-22,6,146.1
W000078,S00007,P001,2024-07-18,8,194.8
W000079,S00007,P001,2024-07-30,6,146.1
W000080,S00007,P001,2024-06-08,8,194.8
W000081,S00007,P001,2024-08-05,8,194.8
W000082,S00007,P001,2024-06-19,4,97.4
W000083,S00007,P001,2024-06-27,8,194.8
W000084,S00007,P001,2024-06-22,6,146.1
W000085,S00007,P001,2024-06-14,4,97.4
W000086,S00007,P001,2024-07-02,5,121.75
W000087,S00007,P001,2024-07-27,6,146.1
W000088,S00008,P001,2024-06-17,6,146.1
W000089,S00008,P001,2024-07-21,5,121.75
W000090,S00008,P001,2024-07-09,6,146.1
W000091,S00008,P001,2024-06-13,8,194.8
W000092,S00008,P001,2024-06-21,7,170.45
W000093,S00008,P001,2024-06-22,6,146.1
W000094,S00008,P001,2024-07-12,4,97.4
W000095,S00008,P001,2024-08-06,4,97.4
W000096,S00008,P001,2024-07-19,7,170.45
W000097,S00009,P001,2024-06-09,7,170.45
W000098,S00009,P001,2024-06-04,8,194.8
W000099,S00009,P001,2024-06-25,4,97.4
W000100,S00009,P001,2024-07-23,4,97.4
W000101,S00009,P001,2024-06-12,4,97.4
W000102,S00009,P001,2024-07-14,5,121.75
W000103,S00009,P001,2024-06-20,8,194.8
W000104,S00009,P001,2024-06-14,4,97.4
W000105,S00009,P001,2024-07-21,6,146.1
W000106,S00009,P001,2024-07-02,8,194.8
W000107,S00009,P001,2024-07-09,8,194.8
W000108,S00009,P001,2024-07-19,5,121.75
W000109,S00010,P002,2024-03-07,5,151.3
W000110,S00010,P002,2024-02-14,7,211.82
W000111,S00010,P002,2024-04-22,4,121.04
W000112,S00010,P002,2024-05-07,5,151.3
W000113,S00010,P002,2024-05-05,6,181.56
W000114,S00010,P002,2024-03-28,7,211.82
W000115,S00010,P002,2024-04-07,5,151.3
W000116,S00010,P002,2024-03-01,6,181.56
W000117,S00010,P002,2024-05-04,5,151.3
W000118,S00010,P002,2024-06-26,4,121.04
W000119,S00010,P002,2024-05-18,7,211.82
W000120,S00010,P002,2024-03-14,4,121.04
W000121,S00010,P002,2024-04-04,7,211.82
W000122,S00010,P002,2024-03-16,5,151.3
W000123,S00011,P002,2024-05-31,6,181.56
W000124,S00011,P002,2024-05-03,6,181.56
W000125,S00011,P002,2024-04-22,8,242.08
W000126,S00011,P002,2024-04-02,7,211.82
W000127,S00011,P002,2024-04-01,8,242.08
W000128,S00011,P002,2024-02-10,6,181.56
W000129,S00011,P002,2024-03-24,4,121.04
W000130,S00011,P002,2024-05-16,4,121.04
W000131,S00011,P002,2024-04-28,6,181.56
W000132,S00011,P002,2024-04-15,5,151.3
W000133,S00011,P002,2024-02-21,8,242.08
W000134,S00012,P002,2024-02-13,8,242.08
W000135,S00012,P002,2024-03-02,8,242.08
W000136,S00012,P002,2024-05-25,5,151.3
W000137,S00012,P002,2024-05-02,6,181.56
W000138,S00012,P002,2024-04-24,7,211.82
W000139,S00012,P002,2024-06-13,4,121.04
W000140,S00012,P002,2024-03-04,6,181.56
W000141,S00012,P002,2024-05-12,8,242.08
W000142,S00012,P002,2024-03-23,6,181.56
W000143,S00012,P002,2024-04-09,4,121.04
W000144,S00012,P002,2024-02-15,6,181.56
W000145,S00012,P002,2024-02-04,8,242.08
W000146,S00013,P002,2024-05-18,7,251.23
W000147,S00013,P002,2024-04-27,8,287.12
W000148,S00013,P002,2024-05-17,4,143.56
W000149,S00013,P002,2024-04-19,6,215.34
W000150,S00013,P002,2024-06-24,6,215.34
W000151,S00013,P002,2024-03-07,5,179.45
W000152,S00013,P002,2024-03-24,7,251.23
W000153,S00013,P002,2024-05-21,8,287.12
W000154,S00013,P002,2024-05-11,8,287.12
W000155,S00013,P002,2024-03-19,6,215.34
W000156,S00013,P002,2024-06-28,7,251.23
W000157,S00013,P002,2024-04-21,7,251.23
W000158,S00014,P002,2024-03-29,4,143.56
W000159,S00014,P002,2024-06-13,5,179.45
W000160,S00014,P002,2024-06-04,7,251.23
W000161,S00014,P002,2024-03-18,8,287.12
W000162,S00014,P002,2024-02-25,4,143.56
W000163,S00014,P002,2024-04-16,7,251.23
W000164,S00014,P002,2024-06-14,7,251.23
W000165,S00014,P002,2024-04-29,8,287.12
W000166,S00014,P002,2024-02-27,5,179.45
W000167,S00014,P002,2024-04-04,7,251.23
W000168,S00014,P002,2024-04-23,7,251.23
W000169,S00014,P002,2024-04-01,7,251.23
W000170,S00014,P002,2024-03-25,5,179.45
W000171,S00014,P002,2024-03-12,5,179.45
W000172,S00014,P002,2024-02-10,4,143.56
W000173,S00015,P002,2024-05-22,7,251.23
W000174,S00015,P002,2024-03-31,5,179.45
W000175,S00015,P002,2024-03-20,7,251.23
W000176,S00015,P002,2024-06-15,8,287.12
W000177,S00015,P002,2024-06-01,8,287.12
W000178,S00015,P002,2024-02-16,8,287.12
W000179,S00015,P002,2024-06-25,6,215.34
W000180,S00015,P002,2024-04-07,7,251.23
W000181,S00015,P002,2024-03-06,8,287.12
W000182,S00016,P002,2024-05-23,6,232.68
W000183,S00016,P002,2024-06-23,6,232.68
W000184,S00016,P002,2024-05-28,6,232.68
W000185,S00016,P002,2024-03-15,8,310.24
W000186,S00016,P002,2024-06-04,4,155.12
W000187,S00016,P002,2024-05-29,5,193.9
W000188,S00016,P002,2024-04-10,5,193.9
W000189,S00016,P002,2024-04-07,5,193.9
W000190,S00016,P002,2024-04-14,7,271.46
W000191,S00016,P002,2024-06-16,5,193.9
W000192,S00016,P002,2024-06-07,5,193.9
W000193,S00016,P002,2024-04-05,4,155.12
W000194,S00016,P002,2024-05-26,7,271.46
W000195,S00016,P002,2024-02-23,7,271.46
W000196,S00016,P002,2024-04-17,6,232.68
W000197,S00016,P002,2024-04-04,8,310.24
W000198,S00017,P002,2024-05-20,5,193.9
W000199,S00017,P002,2024-02-19,6,232.68
W000200,S00017,P002,2024-03-27,7,271.46
W000201,S00017,P002,2024-05-21,7,271.46
W000202,S00017,P002,2024-05-13,4,155.12
W000203,S00017,P002,2024-02-09,7,271.46
W000204,S00017,P002,2024-05-11,6,232.68
W000205,S00017,P002,2024-06-05,7,271.46
W000206,S00017,P002,2024-02-05,5,193.9
W000207,S00017,P002,2024-05-04,7,271.46
W000208,S00017,P002,2024-04-20,5,193.9
W000209,S00017,P002,2024-06-20,8,310.24
W000210,S00017,P002,2024-06-22,8,310.24
W000211,S00017,P002,2024-03-31,4,155.12
W000212,S00017,P002,2024-06-07,7,271.46
W000213,S00018,P002,2024-02-25,6,232.68
W000214,S00018,P002,2024-05-23,5,193.9
W000215,S00018,P002,2024-03-09,7,271.46
W000216,S00018,P002,2024-06-01,6,232.68
W000217,S00018,P002,2024-03-21,6,232.68
W000218,S00018,P002,2024-02-16,7,271.46
W000219,S00018,P002,2024-04-10,6,232.68
W000220,S00018,P002,2024-05-11,7,271.46
W000221,S00019,P002,2024-02-24,4,155.12
W000222,S00019,P002,2024-06-03,8,310.24
W000223,S00019,P002,2024-02-08,5,193.9
W000224,S00019,P002,2024-06-21,5,193.9
W000225,S00019,P002,2024-02-17,5,193.9
W000226,S00019,P002,2024-05-03,7,271.46
W000227,S00019,P002,2024-04-01,4,155.12
W000228,S00019,P002,2024-02-21,8,310.24
W000229,S00019,P002,2024-02-14,5,193.9
W000230,S00019,P002,2024-02-11,7,271.46
W000231,S00019,P002,2024-04-07,6,232.68
W000232,S00019,P002,2024-03-26,6,232.68
W000233,S00020,P002,2024-03-04,4,155.12
W000234,S00020,P002,2024-03-16,6,232.68
W000235,S00020,P002,2024-04-23,8,310.24
W000236,S00020,P002,2024-03-02,4,155.12
W000237,S00020,P002,2024-02-10,8,310.24
W000238,S00020,P002,2024-05-10,4,155.12
W000239,S00020,P002,2024-05-15,6,232.68
W000240,S00020,P002,2024-03-25,8,310.24
W000241,S00020,P002,2024-02-23,7,271.46
W000242,S00020,P002,2024-04-06,6,232.68
W000243,S00021,P002,2024-06-12,5,193.9
W000244,S00021,P002,2024-05-01,7,271.46
W000245,S00021,P002,2024-02-07,5,193.9
W000246,S00021,P002,2024-05-21,8,310.24
W000247,S00021,P002,2024-06-08,6,232.68
W000248,S00021,P002,2024-03-02,8,310.24
W000249,S00021,P002,2024-05-24,8,310.24
W000250,S00021,P002,2024-05-06,7,271.46
W000251,S00021,P002,2024-05-31,7,271.46
W000252,S00022,P003,2024-03-18,7,310.66
W000253,S00022,P003,2024-02-06,6,266.28
W000254,S00022,P003,2024-02-13,5,221.9
W000255,S00022,P003,2024-02-03,7,310.66
W000256,S00022,P003,2024-01-14,5,221.9
W000257,S00022,P003,2024-02-07,6,266.28
W000258,S00022,P003,2024-02-29,6,266.28
W000259,S00022,P003,2024-03-02,6,266.28
W000260,S00022,P003,2024-03-15,6,266.28
W000261,S00022,P003,2024-03-21,8,355.04
W000262,S00022,P003,2024-03-28,6,266.28
W000263,S00022,P003,2024-02-20,8,355.04
W000264,S00022,P003,2024-02-15,4,177.52
W000265,S00022,P003,2024-01-06,8,355.04
W000266,S00023,P003,2024-01-13,5,221.9
W000267,S00023,P003,2024-02-02,7,310.66
W000268,S00023,P003,2024-02-24,5,221.9
W000269,S00023,P003,2024-03-05,6,266.28
W000270,S00023,P003,2024-03-14,8,355.04
W000271,S00023,P003,2024-03-03,6,266.28
W000272,S00023,P003,2024-03-25,7,310.66
W000273,S00023,P003,2024-02-29,8,355.04
W000274,S00023,P003,2024-01-05,8,355.04
W000275,S00023,P003,2024-01-14,6,266.28
W000276,S00023,P003,2024-02-09,7,310.66
W000277,S00024,P003,2024-02-14,8,355.04
W000278,S00024,P003,2024-02-17,8,355.04
W000279,S00024,P003,2024-03-01,6,266.28
W000280,S00024,P003,2024-02-06,4,177.52
W000281,S00024,P003,2024-02-11,5,221.9
W000282,S00024,P003,2024-02-04,6,266.28
W000283,S00024,P003,2024-02-01,5,221.9
W000284,S00024,P003,2024-01-18,6,266.28
W000285,S00024,P003,2024-01-27,5,221.9
W000286,S00024,P003,2024-02-12,6,266.28
W000287,S00024,P003,2024-03-11,4,177.52
W000288,S00024,P003,2024-01-26,8,355.04
W000289,S00024,P003,2024-01-30,5,221.9
W000290,S00024,P003,2024-03-04,6,266.28
W000291,S00024,P003,2024-02-07,4,177.52
W000292,S00024,P003,2024-03-18,4,177.52
W000293,S00025,P003,2024-02-09,4,177.52
W000294,S00025,P003,2024-01-19,7,310.66
W000295,S00025,P003,2024-03-24,7,310.66
W000296,S00025,P003,2024-03-05,4,177.52
W000297,S00025,P003,2024-01-16,8,355.04
W000298,S00025,P003,2024-01-04,4,177.52
W000299,S00025,P003,2024-03-16,5,221.9
W000300,S00025,P003,2024-02-08,5,221.9
W000301,S00025,P003,2024-03-03,8,355.04
W000302,S00025,P003,2024-03-04,6,266.28
W000303,S00025,P003,2024-02-28,4,177.52
W000304,S00025,P003,2024-02-15,5,221.9
W000305,S00025,P003,2024-01-26,4,177.52
W000306,S00025,P003,2024-01-09,8,355.04
W000307,S00025,P003,2024-02-04,7,310.66
W000308,S00025,P003,2024-01-17,8,355.04
W000309,S00026,P003,2024-03-09,8,355.04
W000310,S00026,P003,2024-02-20,4,177.52
W000311,S00026,P003,2024-02-29,5,221.9
W000312,S00026,P003,2024-02-28,5,221.9
W000313,S00026,P003,2024-02-10,6,266.28
W000314,S00026,P003,2024-03-18,4,177.52
W000315,S00026,P003,2024-02-26,5,221.9
W000316,S00026,P003,2024-02-11,5,221.9
W000317,S00026,P003,2024-03-15,5,221.9
W000318,S00026,P003,2024-03-22,8,355.04
W000319,S00026,P003,2024-01-10,4,177.52
W000320,S00027,P003,2024-01-03,4,95.24
W000321,S00027,P003,2024-02-24,5,119.05
W000322,S00027,P003,2024-02-29,6,142.86
W000323,S00027,P003,2024-03-19,8,190.48
W000324,S00027,P003,2024-03-03,5,119.05
W000325,S00027,P003,2024-02-09,7,166.67
W000326,S00027,P003,2024-01-07,4,95.24
W000327,S00027,P003,2024-02-01,8,190.48
W000328,S00027,P003,2024-02-08,5,119.05
W000329,S00027,P003,2024-03-01,5,119.05
W000330,S00028,P003,2024-01-21,7,166.67
W000331,S00028,P003,2024-01-12,6,142.86
W000332,S00028,P003,2024-01-10,8,190.48
W000333,S00028,P003,2024-01-24,8,190.48
W000334,S00028,P003,2024-02-11,7,166.67
W000335,S00028,P003,2024-03-19,7,166.67
W000336,S00028,P003,2024-03-15,4,95.24
W000337,S00028,P003,2024-02-08,8,190.48
W000338,S00028,P003,2024-02-28,4,95.24
W000339,S00028,P003,2024-01-18,7,166.67
W000340,S00028,P003,2024-03-02,6,142.86
W000341,S00028,P003,2024-02-10,8,190.48
W000342,S00029,P003,2024-01-06,7,166.67
W000343,S00029,P003,2024-01-14,6,142.86
W000344,S00029,P003,2024-02-01,5,119.05
W000345,S00029,P003,2024-03-29,8,190.48
W000346,S00029,P003,2024-03-16,7,166.67
W000347,S00029,P003,2024-03-18,7,166.67
W000348,S00029,P003,2024-01-05,4,95.24
W000349,S00029,P003,2024-02-06,7,166.67
W000350,S00029,P003,2024-01-08,6,142.86
W000351,S00029,P003,2024-01-25,7,166.67
W000352,S00029,P003,2024-03-03,6,142.86
W000353,S00029,P003,2024-03-09,6,142.86
W000354,S00030,P003,2024-01-23,7,166.67
W000355,S00030,P003,2024-02-14,4,95.24
W000356,S00030,P003,2024-02-24,6,142.86
W000357,S00030,P003,2024-03-06,6,142.86
W000358,S00030,P003,2024-02-08,6,142.86
W000359,S00030,P003,2024-03-27,4,95.24
W000360,S00030,P003,2024-02-23,7,166.67
W000361,S00030,P003,2024-03-13,8,190.48
W000362,S00030,P003,2024-01-07,4,95.24
W000363,S00031,P003,2024-03-02,4,95.24
W000364,S00031,P003,2024-02-24,4,95.24
W000365,S00031,P003,2024-01-09,8,190.48
W000366,S00031,P003,2024-01-27,5,119.05
W000367,S00031,P003,2024-03-09,5,119.05
W000368,S00031,P003,2024-02-18,6,142.86
W000369,S00031,P003,2024-03-22,8,190.48
W000370,S00031,P003,2024-03-06,4,95.24
W000371,S00031,P003,2024-03-23,8,190.48
W000372,S00031,P003,2024-02-28,7,166.67
W000373,S00031,P003,2024-01-29,4,95.24
W000374,S00031,P003,2024-02-06,5,119.05
W000375,S00031,P003,2024-03-13,4,95.24
W000376,S00031,P003,2024-01-19,7,166.67
W000377,S00031,P003,2024-02-08,4,95.24
W000378,S00031,P003,2024-03-05,5,119.05
W000379,S00032,P003,2024-02-09,6,142.86
W000380,S00032,P003,2024-03-08,7,166.67
W000381,S00032,P003,2024-02-06,6,142.86
W000382,S00032,P003,2024-02-25,8,190.48
W000383,S00032,P003,2024-03-04,6,142.86
W000384,S00032,P003,2024-03-03,4,95.24
W000385,S00032,P003,2024-02-03,6,142.86
W000386,S00032,P003,2024-03-01,6,142.86
W000387,S00032,P003,2024-03-13,8,190.48
W000388,S00032,P003,2024-01-21,8,190.48
W000389,S00032,P003,2024-02-21,7,166.67
W000390,S00032,P003,2024-01-27,5,119.05
W000391,S00032,P003,2024-03-19,7,166.67
W000392,S00032,P003,2024-01-20,8,190.48
W000393,S00032,P003,2024-01-11,7,166.67
W000394,S00033,P003,2024-02-14,6,246.48
W000395,S00033,P003,2024-03-13,7,287.56
W000396,S00033,P003,2024-03-12,7,287.56
W000397,S00033,P003,2024-02-20,7,287.56
W000398,S00033,P003,2024-03-01,5,205.4
W000399,S00033,P003,2024-02-13,7,287.56
W000400,S00033,P003,2024-01-27,4,164.32
W000401,S00033,P003,2024-02-02,5,205.4
W000402,S00033,P003,2024-03-16,8,328.64
W000403,S00033,P003,2024-02-21,8,328.64
W000404,S00033,P003,2024-02-01,6,246.48
W000405,S00033,P003,2024-02-24,4,164.32
W000406,S00033,P003,2024-01-08,7,287.56
W000407,S00034,P003,2024-03-10,6,246.48
W000408,S00034,P003,2024-03-01,6,246.48
W000409,S00034,P003,2024-01-04,8,328.64
W000410,S00034,P003,2024-01-21,7,287.56
W000411,S00034,P003,2024-02-24,4,164.32
W000412,S00034,P003,2024-03-26,6,246.48
W000413,S00034,P003,2024-01-22,8,328.64
W000414,S00034,P003,2024-01-12,7,287.56
W000415,S00034,P003,2024-03-03,6,246.48
W000416,S00035,P003,2024-03-12,6,246.48
W000417,S00035,P003,2024-01-07,4,164.32
W000418,S00035,P003,2024-03-22,4,164.32
W000419,S00035,P003,2024-01-11,6,246.48
W000420,S00035,P003,2024-02-02,4,164.32
W000421,S00035,P003,2024-03-23,6,246.48
W000422,S00035,P003,2024-03-30,6,246.48
W000423,S00035,P003,2024-02-08,6,246.48
W000424,S00035,P003,2024-02-01,7,287.56
W000425,S00035,P003,2024-01-14,5,205.4
W000426,S00035,P003,2024-02-27,5,205.4
W000427,S00035,P003,2024-01-15,8,328.64
W000428,S00035,P003,2024-03-24,7,287.56
W000429,S00035,P003,2024-02-28,8,328.64
W000430,S00035,P003,2024-01-24,5,205.4
W000431,S00036,P003,2024-01-25,5,176.4
W000432,S00036,P003,2024-01-13,7,246.96
W000433,S00036,P003,2024-03-21,6,211.68
W000434,S00036,P003,2024-02-20,7,246.96
W000435,S00036,P003,2024-03-22,6,211.68
W000436,S00036,P003,2024-03-30,4,141.12
W000437,S00036,P003,2024-02-02,7,246.96
W000438,S00036,P003,2024-03-06,6,211.68
W000439,S00036,P003,2024-03-17,8,282.24
W000440,S00036,P003,2024-01-21,5,176.4
W000441,S00037,P003,2024-02-28,7,246.96
W000442,S00037,P003,2024-02-16,7,246.96
W000443,S00037,P003,2024-03-18,4,141.12
W000444,S00037,P003,2024-02-10,5,176.4
W000445,S00037,P003,2024-03-24,7,246.96
W000446,S00037,P003,2024-02-26,8,282.24
W000447,S00037,P003,2024-02-04,6,211.68
W000448,S00037,P003,2024-03-01,8,282.24
W000449,S00037,P003,2024-01-28,6,211.68
W000450,S00038,P003,2024-01-05,8,282.24
W000451,S00038,P003,2024-03-27,6,211.68
W000452,S00038,P003,2024-02-22,5,176.4
W000453,S00038,P003,2024-02-07,5,176.4
W000454,S00038,P003,2024-01-04,8,282.24
W000455,S00038,P003,2024-03-15,6,211.68
W000456,S00038,P003,2024-03-30,5,176.4
W000457,S00038,P003,2024-01-09,4,141.12
W000458,S00038,P003,2024-03-20,4,141.12
W000459,S00038,P003,2024-03-06,6,211.68
W000460,S00038,P003,2024-02-08,7,246.96
W000461,S00038,P003,2024-02-01,4,141.12
W000462,S00039,P003,2024-01-19,6,211.68
W000463,S00039,P003,2024-01-14,7,246.96
W000464,S00039,P003,2024-02-09,6,211.68
W000465,S00039,P003,2024-02-13,6,211.68
W000466,S00039,P003,2024-02-25,4,141.12
W000467,S00039,P003,2024-01-25,7,246.96
W000468,S00039,P003,2024-01-28,4,141.12
W000469,S00039,P003,2024-03-12,5,176.4
W000470,S00039,P003,2024-02-18,5,176.4
W000471,S00039,P003,2024-03-10,7,246.96
W000472,S00039,P003,2024-03-07,8,282.24
W000473,S00039,P003,2024-02-06,6,211.68
W000474,S00039,P003,2024-01-24,4,141.12
W000475,S00040,P003,2024-01-04,8,282.24
W000476,S00040,P003,2024-02-05,8,282.24
W000477,S00040,P003,2024-03-11,6,211.68
W000478,S00040,P003,2024-01-18,8,282.24
W000479,S00040,P003,2024-03-01,5,176.4
W000480,S00040,P003,2024-02-19,4,141.12
W000481,S00040,P003,2024-03-29,7,246.96
W000482,S00040,P003,2024-03-17,6,211.68
W000483,S00040,P003,2024-02-20,7,246.96
W000484,S00040,P003,2024-03-24,4,141.12
W000485,S00040,P003,2024-01-16,5,176.4
W000486,S00040,P003,2024-02-01,4,141.12
W000487,S00040,P003,2024-03-03,4,141.12
W000488,S00040,P003,2024-01-06,6,211.68
W000489,S00041,P004,2024-03-03,5,115.25
W000490,S00041,P004,2024-03-01,7,161.35
W000491,S00041,P004,2024-03-19,4,92.2
W000492,S00041,P004,2024-06-10,7,161.35
W000493,S00041,P004,2024-04-26,8,184.4
W000494,S00041,P004,2024-03-06,7,161.35
W000495,S00041,P004,2024-04-07,6,138.3
W000496,S00041,P004,2024-04-16,4,92.2
W000497,S00041,P004,2024-04-05,6,138.3
W000498,S00041,P004,2024-05-13,5,115.25
W000499,S00041,P004,2024-05-23,7,161.35
W000500,S00041,P004,2024-05-17,7,161.35
W000501,S00041,P004,2024-04-27,5,115.25
W000502,S00041,P004,2024-04-11,6,138.3
W000503,S00041,P004,2024-05-03,4,92.2
W000504,S00042,P004,2024-04-27,5,115.25
W000505,S00042,P004,2024-05-10,8,184.4
W000506,S00042,P004,2024-04-03,4,92.2
W000507,S00042,P004,2024-02-25,4,92.2
W000508,S00042,P004,2024-04-08,6,138.3
W000509,S00042,P004,2024-03-24,5,115.25
W000510,S00042,P004,2024-03-13,5,115.25
W000511,S00042,P004,2024-03-04,8,184.4
W000512,S00042,P004,2024-06-05,5,115.25
W000513,S00042,P004,2024-06-02,4,92.2
W000514,S00042,P004,2024-04-16,8,184.4
W000515,S00042,P004,2024-02-29,5,115.25
W000516,S00042,P004,2024-05-12,8,184.4
W000517,S00043,P004,2024-06-01,5,115.25
W000518,S00043,P004,2024-06-08,5,115.25
W000519,S00043,P004,2024-03-18,8,184.4
W000520,S00043,P004,2024-03-31,6,138.3
W000521,S00043,P004,2024-05-27,5,115.25
W000522,S00043,P004,2024-03-07,4,92.2
W000523,S00043,P004,2024-05-28,4,92.2
W000524,S00043,P004,2024-05-04,5,115.25
W000525,S00043,P004,2024-02-18,4,92.2
W000526,S00043,P004,2024-03-24,6,138.3
W000527,S00043,P004,2024-06-06,5,115.25
W000528,S00044,P004,2024-02-20,6,138.3
W000529,S00044,P004,2024-03-11,8,184.4
W000530,S00044,P004,2024-03-22,8,184.4
W000531,S00044,P004,2024-02-24,4,92.2
W000532,S00044,P004,2024-03-05,7,161.35
W000533,S00044,P004,2024-05-22,8,184.4
W000534,S00044,P004,2024-04-11,5,115.25
W000535,S00044,P004,2024-04-25,8,184.4
W000536,S00044,P004,2024-03-03,4,92.2
W000537,S00044,P004,2024-05-23,8,184.4
W000538,S00044,P004,2024-02-26,6,138.3
W000539,S00044,P004,2024-04-18,7,161.35
W000540,S00044,P004,2024-04-15,4,92.2
W000541,S00045,P004,2024-04-19,7,161.35
W000542,S00045,P004,2024-06-05,4,92.2
W000543,S00045,P004,2024-04-09,4,92.2
W000544,S00045,P004,2024-04-12,6,138.3
W000545,S00045,P004,2024-05-15,8,184.4
W000546,S00045,P004,2024-03-02,5,115.25
W000547,S00045,P004,2024-04-20,4,92.2
W000548,S00045,P004,2024-05-19,5,115.25
W000549,S00046,P004,2024-05-07,8,318.24
W000550,S00046,P004,2024-05-09,7,278.46
W000551,S00046,P004,2024-05-02,4,159.12
W000552,S00046,P004,2024-04-28,4,159.12
W000553,S00046,P004,2024-05-19,8,318.24
W000554,S00046,P004,2024-03-30,5,198.9
W000555,S00046,P004,2024-04-06,7,278.46
W000556,S00046,P004,2024-05-04,7,278.46
W000557,S00046,P004,2024-04-25,5,198.9
W000558,S00046,P004,2024-03-26,7,278.46
W000559,S00046,P004,2024-04-16,6,238.68
W000560,S00046,P004,2024-04-22,7,278.46
W000561,S00047,P004,2024-04-11,4,159.12
W000562,S00047,P004,2024-05-21,4,159.12
W000563,S00047,P004,2024-03-01,7,278.46
W000564,S00047,P004,2024-03-29,4,159.12
W000565,S00047,P004,2024-04-12,6,238.68
W000566,S00047,P004,2024-05-13,5,198.9
W000567,S00047,P004,2024-03-21,8,318.24
W000568,S00047,P004,2024-04-05,4,159.12
W000569,S00047,P004,2024-03-08,8,318.24
W000570,S00047,P004,2024-05-15,8,318.24
W000571,S00047,P004,2024-04-18,8,318.24
W000572,S00047,P004,2024-02-26,6,238.68
W000573,S00047,P004,2024-02-29,4,159.12
W000574,S00047,P004,2024-06-03,7,278.46
W000575,S00048,P004,2024-06-08,5,198.9
W000576,S00048,P004,2024-05-13,5,198.9
W000577,S00048,P004,2024-05-24,7,278.46
W000578,S00048,P004,2024-04-12,5,198.9
W000579,S00048,P004,2024-05-20,4,159.12
W000580,S00048,P004,2024-02-24,6,238.68
